"id","session_id","user_id","message","role","created_at","articles_retrieved","top_confidence","retrieval_count","request_time","response_time","processing_ms"
0,"session-002","swati","I don't have enough information in the Kuwait Labour Law document to answer this.","assistant","2026-04-17 23:31:27.390701",NULL,NULL,NULL,NULL,NULL,NULL
1,"session-002","swati","I don't have enough information in the Kuwait Labour Law document to answer this.","assistant","2026-04-17 23:32:10.405718",NULL,NULL,NULL,NULL,NULL,NULL
2,"session-002","swati","I don't have enough information in the Kuwait Labour Law document to answer this.","assistant","2026-04-17 23:32:28.931119",NULL,NULL,NULL,NULL,NULL,NULL
3,"session-002","swati","I can only answer questions related to Kuwait Labour Law. Please ask a specific question related to the labor law in Kuwait.","assistant","2026-04-17 23:35:58.958097",NULL,NULL,NULL,NULL,NULL,NULL
4,"session-002","swati","I don't have enough information in the provided context to determine the annual leave entitlement under Kuwait Labour Law. If you can provide specific details or Article numbers related to annual leave, I can assist you further.","assistant","2026-04-17 23:37:55.95246",NULL,NULL,NULL,NULL,NULL,NULL
5,"session-002","swati","I don't have enough information in the provided context to determine the annual leave entitlement under Kuwait Labour Law. If you have specific questions related to annual leave entitlement, please provide the relevant Article numbers for me to reference.","assistant","2026-04-17 23:55:59.852577",NULL,NULL,NULL,NULL,NULL,NULL
6,"session-003","swati","I can only answer questions related to Kuwait Labour Law. Please rephrase your question accordingly.","assistant","2026-04-18 00:00:58.864444",NULL,NULL,NULL,NULL,NULL,NULL
7,"session-004","swati","The provided context does not cover this specific topic. Please try a more specific question.","assistant","2026-04-18 00:05:59.223837",NULL,NULL,NULL,NULL,NULL,NULL
8,"session-004","swati","Article 70 states that an employee is entitled to annual leave of not less than 30 days per year after completing one year of service.","assistant","2026-04-18 00:27:19.158748",NULL,NULL,NULL,NULL,NULL,NULL
9,"session-004","swati","The provided context does not cover this specific topic. Please try a more specific question.","assistant","2026-04-18 12:33:21.095491",NULL,NULL,NULL,NULL,NULL,NULL
10,"session-005","swati","The rules for annual leave according to Kuwait Labour Law are as follows:

- The labourer is entitled to a paid annual leave of thirty days (Article 70).
- The first year leave entitlement is after completing at least nine months of service with the employer.
- Official holidays and sick leave days that overlap with the annual leave are not counted in the annual leave duration.
- The labourer has the right to receive the due salary for the annual leave in advance before taking the leave (Article 71).
- The labourer is not allowed to assign the annual leave to another person with or without compensation, and the employer can reclaim any salary paid if the labourer works with another employer during the leave (Article 72).
- The labourer has the right to receive a cash equivalent for accumulated annual leave days upon contract expiration (Article 73).

If you need more detailed information or have further questions about annual leave, feel free to ask.","assistant","2026-04-18 12:37:03.125691",NULL,NULL,NULL,NULL,NULL,NULL
11,"session-005","swati","The rules for termination according to Kuwait Labour Law are as follows:

- The employer may terminate the labourer's service without notice, indemnity, or remuneration under specific circumstances such as committing serious faults or crimes affecting honor, honesty, or morality (Article 41).
- A labourer has the right to terminate the work contract without notice and receive the terminal service indemnity in cases where the employer breaches the contract, assaults the labourer, threatens their safety or health, commits fraudulent acts, or violates moral standards (Article 48).
- In the case of contracts made for an unlimited period, termination by either party requires written notice with specific notice periods depending on the type of labourer. Failure to give proper notice may result in compensation equivalent to the labourer's salary for the notice period (Article 44).
- The labourer has the right to be absent from work for a day or specific hours to search for another job if the termination notice is given by the employer, along with entitlement to wages for the absence (Article 44).
- If either party terminates a limited period employment contract prematurely without the right to do so, the party causing the premature termination must compensate the other party for the damage incurred equivalent to the labourer's wage for the remaining period of the contract (Article 47).

For more specific details on termination rules based on certain circumstances or types of contracts, feel free to ask.","assistant","2026-04-18 12:43:08.284007",NULL,NULL,NULL,NULL,NULL,NULL
12,"session-005","swati","The rules for the notice period according to Kuwait Labour Law are as follows:

- In the case of a contract made for an unlimited period, either party may terminate it by giving notice in writing:
  - The notice should be at least three months prior to termination for monthly salaried labourers or at least one month prior for other types of labourers.
  - Failure to observe the notice period may result in the party terminating the contract being obliged to pay an amount equal to the labourer's salary for the same period (Article 44).
  - If the termination notice is given by the employer, the labourer has the right to be absent from work for a day within a week or eight hours during the week to search for another job, along with entitlement to wages for the absent day or hours (Article 44).
- In cases where a collective employment contract is not desired to be renewed after its expiry, the party wishing not to renew must inform the other party and the competent Ministry in writing at least three months from the contract's expiry date (Article 114).
- The probation period for labourers is specified in the work contract and should not exceed one hundred working days. During the probation period, either party may terminate the contract without notice, with the employer required to pay the labourer their terminal service indemnity (Article 32).

These are the rules regarding the notice period in Kuwait Labour Law. If you need more specific information or have further questions related to the notice period, please let me know.","assistant","2026-04-18 12:57:04.553048",NULL,NULL,NULL,NULL,NULL,NULL
13,"session-005","swati","The rules for the notice period based on the Kuwait Labour Law are as follows:

- In cases where the contract is of an unlimited period, either party can terminate the contract by giving written notice:
  - The notice period should be at least three months before termination for monthly salaried labourers and at least one month before termination for other types of labourers.
  - Failure to adhere to the notice period may require the party terminating the contract to pay an amount equal to the labourer's salary for the same period (Article 44).
  - If the employer issues the termination notice, the labourer has the right to be absent from work for a day within a week or eight hours during the week to search for another job, with entitlement to wages for the absent day or hours (Article 44).
- In the scenario where either party of a collective employment contract does not wish to renew it after the term expires, they must inform the other party and the competent Ministry in writing at least three months before the contract expiry date (Article 114).
- If a labourer discontinues work without acceptable reasons for seven consecutive days or twenty interrupted days within a year, the employer may consider the labourer resigned legally, and the provisions of Article 53 relating to terminal service indemnity apply (Article 42).
  
These are the rules related to the notice period outlined in Kuwait Labour Law. If you have further specific inquiries or require more details, feel free to ask.","assistant","2026-04-18 16:31:31.692564",NULL,NULL,NULL,NULL,NULL,NULL
